GameID,Date,AwayTeam,HomeTeam
717632,2023-06-24T20:10:00Z,Kansas City Royals,Tampa Bay Rays
717631,2023-06-24T20:10:00Z,Atlanta Braves,Cincinnati Reds
717629,2023-06-24T20:10:00Z,Boston Red Sox,Chicago White Sox
717630,2023-06-24T20:10:00Z,Pittsburgh Pirates,Miami Marlins
717625,2023-06-24T20:10:00Z,Milwaukee Brewers,Cleveland Guardians
717626,2023-06-24T23:15:00Z,Houston Astros,Los Angeles Dodgers
717633,2023-06-24T23:15:00Z,Minnesota Twins,Detroit Tigers
717638,2023-06-25T00:40:00Z,Washington Nationals,San Diego Padres
717640,2023-06-25T01:10:00Z,Los Angeles Angels,Colorado Rockies
717623,2023-06-25T14:10:00Z,Chicago Cubs,St. Louis Cardinals
717627,2023-06-25T17:35:00Z,Seattle Mariners,Baltimore Orioles
717624,2023-06-25T17:35:00Z,New York Mets,Philadelphia Phillies
717622,2023-06-25T17:35:00Z,Texas Rangers,New York Yankees
717617,2023-06-25T17:37:00Z,Oakland Athletics,Toronto Blue Jays
717619,2023-06-25T17:40:00Z,Kansas City Royals,Tampa Bay Rays
717621,2023-06-25T17:40:00Z,Minnesota Twins,Detroit Tigers
717618,2023-06-25T17:40:00Z,Atlanta Braves,Cincinnati Reds
717620,2023-06-25T17:40:00Z,Pittsburgh Pirates,Miami Marlins
717613,2023-06-25T17:40:00Z,Milwaukee Brewers,Cleveland Guardians
717614,2023-06-25T18:10:00Z,Boston Red Sox,Chicago White Sox
717616,2023-06-25T19:10:00Z,Los Angeles Angels,Colorado Rockies
717612,2023-06-25T20:05:00Z,Arizona Diamondbacks,San Francisco Giants
717610,2023-06-25T20:10:00Z,Washington Nationals,San Diego Padres
717615,2023-06-25T23:10:00Z,Houston Astros,Los Angeles Dodgers
717611,2023-06-26T23:05:00Z,Cincinnati Reds,Baltimore Orioles
717607,2023-06-26T23:10:00Z,Milwaukee Brewers,New York Mets
717609,2023-06-26T23:20:00Z,Minnesota Twins,Atlanta Braves
717606,2023-06-27T00:05:00Z,Detroit Tigers,Texas Rangers
